SKU Code,Shape,Diamond Size(Round) mm,Diamond Count(Round),Diamond Size(Princes) mm,Diamond Count(Princes),Diamond Size(Cushion) mm,Diamond Count(Cushion),Diamond Size(Oval) mm,Diamond Count(Oval),Diamond Size(Emerald) mm,Diamond Count(Emerald),Diamond Size(Radiant) mm,Diamond Count(Radiant),Diamond size (Asscher) mm,Diamond count (Asscher),Diamond Size(Heart) mm,Diamond Count(Heart),Diamond Size(Marquise) mm,Diamond Count(Marquise),Diamond Size(Pear) mm,Diamond Count(Pear),Length,Width,Diamond Wt,Volume,Casting wt.,Reduction,18KT wt.(Gm)
S R-19025(2.00),Emerald,1.6,18.0,,,,,,,7.7 * 5.7,1.0,,,,,,,,,,,21.1,12.59,1.69,380.44,5.972907999999999,1.1945816,4.778326399999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19026(0.50),Asscher,1.2,16.0,,,,,,,,,,,4.0,1.0,,,,,,,21.1,7.76,0.44,277.98,4.364286,0.8728572,3.4914288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19026(1.00),Asscher,1.45,16.0,,,,,,,,,,,5.2,1.0,,,,,,,21.1,9.39,0.87,321.79,5.052103,1.0104206,4.0416824
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19026(1.50),Asscher,1.6,16.0,,,,,,,,,,,6.0,1.0,,,,,,,21.1,10.27,1.35,360.14,5.654197999999999,1.1308395999999998,4.523358399999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19026(2.00),Asscher,1.75,16.0,,,,,,,,,,,6.7,1.0,,,,,,,21.1,11.12,1.8,396.41,6.223637,1.2447274000000002,4.9789096
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19027(0.50),Radiant,1.25,16.0,,,,,,,,,5 * 3,1.0,,,,,,,,,21.1,8.9,0.42,266.94,4.190957999999999,0.8381915999999999,3.3527663999999993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19027(1.00),Radiant,1.3,20.0,,,,,,,,,6.5 * 4.5,1.0,,,,,,,,,21.1,10.56,1.07,319.63,5.018191,1.0036382,4.0145528
